Name,ID,Nb Casiers,Qualité de collecte,Collecteurs disponibles,latitude,longitude,heures,key,date,quantite,demande
SATORIZ SAINT-ETIENNE,PDC-087,40.0,NEUTRE,"['ENVIE LOIRE', 'LES COURSIERS STEPHANOIS', 'REBOOTEILLE']",45.443142,4.4241536,"[[8.5, 19.5], [32.5, 43.5], [56.5, 67.5], [80.5, 91.5], [104.5, 115.5], [128.5, 139.5]]", SATORIZ SAINT-ETIENNE PDC-087,2022-11-25 00:00:00,5.0,0
BIOCOOP LE VERT DE TERRE (AMBERIEU),PDC-096,30.0,NEUTRE,['REBOOTEILLE'],45.9729539,5.352279,"[[8.5, 19], [32.5, 43], [56.5, 67], [80.5, 91], [104.5, 115], [128.5, 139], [152.5, 163]]", BIOCOOP LE VERT DE TERRE (AMBERIEU) PDC-096,2022-11-23 00:00:00,8.0,0
BIOCOOP LUMIERE,PDC-032,14.0,TOPISSIME,"['URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.7448492,4.8668437,"[[7, 8.5], [9, 18], [31, 32.5], [33, 42], [55, 56.5], [57, 66], [79, 80.5], [81, 90], [103, 104.5], [105, 114], [127, 128.5], [129, 138], [151, 152.5], [153, 162]]", BIOCOOP LUMIERE PDC-032,2022-11-25 00:00:00,5.0,0
BIOCOOP BROTTEAUX,PDC-095,12.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.7641615,4.8581132,"[[8, 14], [16, 19], [32, 38], [40, 43], [56, 62], [64, 67], [80, 86], [88, 91], [104, 110], [112, 115], [128, 134], [136, 139], [152, 158], [160, 163]]", BIOCOOP BROTTEAUX PDC-095,2022-11-22 00:00:00,4.0,0
BIOCOOP SAXE GAMBETTA,PDC-031,14.0,NEUTRE,"['URBY LYON', 'TOUT EN VELO LYON', 'REBOOTEILLE']",45.7526794,4.8464976,"[[8, 18], [32, 42], [56, 66], [80, 90], [104, 114], [128, 138], [152, 162]]", BIOCOOP SAXE GAMBETTA PDC-031,2022-11-22 00:00:00,6.0,0
BIOCOOP BIOPLAISIR TASSIN,PDC-075,12.0,NEUTRE,"['URBY LYON', 'REBOOTEILLE']",45.757844,4.7736983,"[[9, 19.5], [33, 43.5], [57, 67.5], [81, 91.5], [105, 115.5], [129, 139.5]]", BIOCOOP BIOPLAISIR TASSIN PDC-075,2022-11-23 00:00:00,3.0,0
BIOCOOP LE BARABAN,PDC-062,12.0,NEUTRE,"['ENVIE LOIRE', 'REBOOTEILLE']",45.4696496,4.3652393,"[[14.5, 19], [33, 43], [57, 67], [81, 91], [105, 115], [129, 139]]", BIOCOOP LE BARABAN PDC-062,2022-12-05 00:00:00,0.0,0
BIOCOOP FOREZ BIO,PDC-051,30.0,NEUTRE,"['ENVIE LOIRE', 'REBOOTEILLE']",45.6107723,4.0965493,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", BIOCOOP FOREZ BIO PDC-051,2022-11-25 00:00:00,8.0,0
BIOCOOP SORBIERS,PDC-059,20.0,NEUTRE,"['ENVIE LOIRE', 'REBOOTEILLE']",45.4806724,4.4443058,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", BIOCOOP SORBIERS PDC-059,2022-11-04 00:00:00,7.0,0
BIOCOOP LES ARCADES,PDC-049,14.0,NEUTRE,"['ENVIE LOIRE', 'LES COURSIERS STEPHANOIS', 'REBOOTEILLE']",45.4402292,4.3867733,"[[12, 19.5], [33.5, 43.5], [57.5, 67.5], [81.5, 91.5], [105.5, 115.5], [129.5, 139.5]]", BIOCOOP LES ARCADES PDC-049,2022-11-25 00:00:00,4.0,0
BIOCOOP LES ARTISONS,PDC-046,20.0,NEUTRE,"['ENVIE LOIRE', 'REBOOTEILLE']",45.390511,4.2762888,"[[14, 19], [33, 43], [57, 67], [81, 91], [105, 115], [129, 138]]", BIOCOOP LES ARTISONS PDC-046,2022-10-21 00:00:00,11.0,1
BIOCOOP CHAZELLES,PDC-057,30.0,NEUTRE,"['ENVIE LOIRE', 'REBOOTEILLE']",45.6379867,4.3894748,"[[8, 19], [32, 43], [56, 67], [80, 91], [104, 115], [128, 139]]", BIOCOOP CHAZELLES PDC-057,2022-09-30 00:00:00,15.0,0
BIOCOOP LE PETIT VERT,PDC-056,35.0,NEUTRE,"['ENVIE LOIRE', 'REBOOTEILLE']",46.0674114,4.0507627,"[[9, 14.5], [33, 42], [57, 66], [81, 90], [105, 114], [129, 138], [153, 162]]", BIOCOOP LE PETIT VERT PDC-056,2022-06-24 00:00:00,31.0,0
